1,410,2965,2990,CR2
2,410,2966,2990,CR2
3,410,2966,2962,CR2
4,410,2968,2990,CR2
5,410,2968,4078,CR2
6,410,4029,2990,CR2
7,410,4029,6969,CR2
8,410,4029,\N,CR2
9,410,4029,6160,CR2
10,410,6156,2952,CR2
11,410,6156,2990,CR2
12,410,2922,6969,CR2
13,410,2952,6156,CR2
14,410,2990,2965,CR2
15,410,2990,2966,CR2
16,410,2990,2968,CR2
17,410,2990,4029,CR2
18,410,2990,6156,CR2
19,410,2990,2948,CR2
20,410,2990,2975,CR2
21,410,2948,2990,CR2
22,410,2948,6969,CR2
23,410,2948,6160,CR2
24,410,2962,2966,CR2
25,410,6969,4029,CR2
26,410,6969,2922,CR2
27,410,6969,2948,CR2
28,410,6969,2975,CR2
29,410,2972,2975,CR2
30,410,2972,6160,CR2
31,410,4364,2975,CR2
32,410,4078,2968,CR2
33,410,4078,2975,CR2
34,410,2975,2990,CR2
35,410,2975,6969,CR2
36,410,2975,2972,CR2
37,410,2975,4364,CR2
38,410,2975,4078,CR2
39,410,\N,4029,CR2
40,410,6160,4029,CR2
41,410,6160,2948,CR2
42,410,6160,2972,CR2
43,1654,2936,2937,A81
44,1654,2936,4078,A81
45,1654,2968,4078,A81
46,1654,2935,2937,AN4
47,1654,2937,2936,A81
48,1654,2937,2935,AN4
49,1654,2937,\N,AN4
50,1654,2937,8944,AN4
51,1654,2937,4078,A81
52,1654,2937,6924,AN4
53,1654,2937,9026,AN4
54,1654,2937,2923,A81
55,1654,\N,2937,AN4
56,1654,2925,4078,A81
57,1654,8944,2937,AN4
58,1654,4078,2936,A81
59,1654,4078,2968,A81
60,1654,4078,2937,A81
61,1654,6924,2937,AN4
62,1654,9026,2937,AN4
63,1654,2923,2937,A81
64,8359,2786,2789,142
65,8359,2812,2789,142 141
66,8359,2812,2808,142
67,8359,6067,2789,141
68,8359,2801,2781,143
69,8359,2801,2806,142
70,8359,2789,2786,142
71,8359,2789,2812,142 141
72,8359,2789,6067,141
73,8359,2789,2781,143 146
74,8359,2789,2806,142 146
75,8359,2781,2801,143
76,8359,2781,2789,143 146
77,8359,2781,2806,146
78,8359,2808,2812,142
79,8359,2806,2801,142
80,8359,2806,2789,142 146
81,8359,2806,2781,146
82,470,253,247,CRJ
83,470,253,246,E70 CRJ M87
84,470,248,246,CRJ
85,470,1044,253,M87
86,470,1044,1084,M87
87,470,1044,246,CRJ
88,470,247,253,CRJ
89,470,247,246,CRJ
90,470,245,298,M87
91,470,245,246,M87
92,470,1084,1044,M87
93,470,1084,246,M87
94,470,298,246,M87 CRJ
95,470,280,246,CRJ
96,470,246,253,E70 CRJ M87
97,470,246,248,CRJ
98,470,246,1044,M87 CRJ
99,470,246,247,CRJ
100,470,246,245,M87
101,470,246,1084,M87
102,470,246,298,CRJ
103,470,246,280,CRJ
104,1338,2709,2673,319
105,1338,2709,2688,319 320
106,1338,2715,2673,319
107,1338,2673,2709,319
108,1338,2673,2715,319
109,1338,2673,6045,319 320
110,1338,2673,2688,320 319
111,1338,2670,2688,319
112,1338,6045,2673,319 320
113,1338,2688,2709,319 320
114,1338,2688,2673,319
115,1338,2688,2670,319
116,2750,1506,1678,100
117,2750,1264,1678,100
118,2750,490,1678,100
119,2750,1665,1054,319
120,2750,1197,1678,319
121,2750,1054,1678,319
122,2750,4197,1678,319
123,2750,1056,1665,319
124,2750,1678,1506,100
125,2750,1678,1264,100
126,2750,1678,490,100
127,2750,1678,1197,319
128,2750,1678,1054,319
129,2750,1678,4197,319
130,3652,730,719,ATP
131,3652,737,715,ATP
132,3652,737,709,SF3
133,3652,737,688,ATP SF3
134,3652,737,718,ATP
135,3652,737,5595,SF3
136,3652,737,719,ATP
137,3652,737,442,SF3
138,3652,737,722,ATR
139,3652,737,448,SF3
140,3652,737,664,SF3
141,3652,737,746,SF3 ATP
142,3652,737,729,SF3
