"Aerospatiale (Nord) 262"
"Aerospatiale (Sud Aviation) Se.210 Caravelle"
"Aerospatiale SN.601 Corvette"
"Aerospatiale/Alenia ATR 42-300"
"Aerospatiale/Alenia ATR 42-500"
"Aerospatiale/Alenia ATR 42-600"
"Aerospatiale/Alenia ATR 72"
"Airbus A300"
"Airbus A300-600"
"Airbus A300-600ST Super Transporter / Beluga"
"Airbus A310"
"Airbus A318"
"Airbus A319"
"Airbus A319neo"
"Airbus A320"
"Airbus A320neo"
"Airbus A321"
"Airbus A321neo"
"Airbus A330"
"Airbus A330-200"
"Airbus A330-300"
"Airbus A330-700 Beluga XL"
"Airbus A330-800neo"
"Airbus A330-900neo"
"Airbus A340"
"Airbus A340-200"
"Airbus A340-300"
"Airbus A340-500"
"Airbus A340-600"
"Airbus A350"
"Airbus A350-1000"
"Airbus A350-900"
"Airbus A380"
"Airbus A380-800"
"Antonov AN-12"
"Antonov AN-124 Ruslan"
"Antonov AN-140"
"Antonov An-148"
"Antonov An-158"
"Antonov An-225 Mriya"
"Antonov AN-24"
"Antonov AN-26"
"Antonov AN-28"
"Antonov AN-30"
"Antonov AN-32"
"Antonov AN-72"
"Avro RJ100"
"Avro RJ70"
"Avro RJ85"
"BAe 146"
"BAe 146-100"
"BAe 146-200"
"BAe 146-300"
"Beechcraft 1900"
"Beechcraft Baron"
"Beechcraft Baron / 55 Baron"
"Bell 212"
"Boeing 707"
"Boeing 717"
"Boeing 720B"
"Boeing 727"
"Boeing 727-100"
"Boeing 727-200"
"Boeing 737"
"Boeing 737 MAX 10"
"Boeing 737 MAX 7"
"Boeing 737 MAX 8"
"Boeing 737 MAX 9"
"Boeing 737-200"
"Boeing 737-300"
"Boeing 737-400"
"Boeing 737-500"
"Boeing 737-600"
"Boeing 737-700"
"Boeing 737-800"
"Boeing 737-900"
"Boeing 747"
"Boeing 747 LCF Dreamlifter"
"Boeing 747-100"
"Boeing 747-200"
"Boeing 747-300"
"Boeing 747-400"
"Boeing 747-400D"
"Boeing 747-8"
"Boeing 747SP"
"Boeing 747SR"
"Boeing 757"
"Boeing 757-200"
"Boeing 757-300"
"Boeing 767"
"Boeing 767-200"
"Boeing 767-300"
"Boeing 767-400"
"Boeing 777"
"Boeing 777-200"
"Boeing 777-200LR"
"Boeing 777-300"
"Boeing 777-300ER"
"Boeing 777-8"
"Boeing 777-9"
"Boeing 787"
"Boeing 787-10"
"Boeing 787-8"
"Boeing 787-9"
"Bombardier 415"
"Bombardier BD-100 Challenger 300"
"Bombardier CS100"
"Bombardier CS300"
"Bombardier Global Express"
"British Aerospace (BAC) One Eleven"
"British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900"
"British Aerospace 125-1000 series / Hawker/Raytheon 1000"
"British Aerospace ATP"
"British Aerospace Jetstream 31"
"British Aerospace Jetstream 32"
"British Aerospace Jetstream 41"
"Canadair Challenger"
"Canadair CL-44"
"Canadair Regional Jet 100"
"Canadair Regional Jet 1000"
"Canadair Regional Jet 200"
"Canadair Regional Jet 700"
"Canadair Regional Jet 900"
"Cessna 152"
"Cessna 172"
